,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition
1851,60,FV,72.5,8010,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,CompShg,CemntBd,CmentBd,None,0.0,3,2,PConc,5,3,1,6,964.0,1,0.0,90.0,1054.0,GasA,4,Y,SBrkr,1072,976,0,2048,1.0,0.0,2,1,3,1,3,8,7,2,4,Detchd,2003.0,1,2.0,552.0,3,3,2,0,48,0,0,180,0,0,0,None,0,8,2007,WD ,Normal
2437,60,RL,64.0,8658,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,5,732.0,1,0.0,250.0,982.0,GasA,4,Y,SBrkr,1008,881,0,1889,0.0,0.0,2,1,3,1,2,9,7,1,3,Attchd,2000.0,3,2.0,431.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2006,WD ,Normal
2426,120,RL,43.0,3010,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,3,2,PConc,4,3,4,6,16.0,1,0.0,1126.0,1142.0,GasA,4,Y,SBrkr,1142,0,0,1142,0.0,0.0,2,0,2,1,3,6,7,0,0,Attchd,2005.0,3,2.0,440.0,3,3,2,90,0,0,0,0,0,0,0,None,0,6,2006,New,Partial
1372,20,RL,55.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,4,250.0,2,492.0,210.0,952.0,GasA,4,Y,SBrkr,1211,0,0,1211,0.0,0.0,1,0,3,1,2,5,7,1,3,Attchd,1968.0,1,1.0,322.0,3,3,2,0,63,0,0,0,0,0,0,None,0,8,2008,WD ,Normal
1855,80,RL,80.0,16157,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,SLvl,5,7,1978,1978,Gable,CompShg,Plywood,Plywood,None,0.0,2,2,PConc,4,3,4,5,680.0,3,391.0,289.0,1360.0,GasA,4,Y,SBrkr,1432,0,0,1432,1.0,0.0,1,1,2,1,3,5,7,1,3,Attchd,1978.0,1,2.0,588.0,3,3,2,168,180,0,0,0,0,0,0,None,0,6,2007,WD ,Normal
1319,50,RM,60.0,5700,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,7,7,1926,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,1,1,0.0,1,0.0,572.0,572.0,GasA,2,Y,SBrkr,572,539,0,1111,0.0,0.0,1,0,2,1,2,5,7,1,4,Detchd,1982.0,1,1.0,288.0,3,3,2,0,0,176,0,0,0,0,0,None,0,8,2008,WD ,Normal
2807,20,RL,70.0,9135,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,120.0,3,2,PConc,4,3,3,6,340.0,1,0.0,1342.0,1682.0,GasA,4,Y,SBrkr,1700,0,0,1700,1.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2003.0,2,2.0,544.0,3,3,2,192,23,0,0,0,0,0,0,None,0,5,2006,WD ,Normal
2118,20,RL,155.0,20064,Pave,None,IR1,Low,AllPub,Inside,Sev,ClearCr,Norm,Norm,1Fam,1Story,8,6,1976,1976,Shed,WdShngl,Wd Sdng,Wd Sdng,None,0.0,3,2,CBlock,4,4,4,2,51.0,6,915.0,0.0,966.0,GasA,4,Y,SBrkr,1743,0,0,1743,2.0,0.0,0,1,0,1,3,5,7,2,2,Attchd,1976.0,3,2.0,529.0,3,3,2,646,0,0,0,0,0,0,0,None,0,5,2007,WD ,Normal
375,20,RL,80.0,10928,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1986,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,2,2,PConc,3,3,1,2,363.0,1,0.0,1064.0,1427.0,GasA,2,Y,SBrkr,1671,0,0,1671,0.0,0.0,2,0,3,1,2,7,7,1,3,Attchd,1978.0,2,2.0,484.0,3,3,2,252,55,0,0,0,0,0,0,None,0,8,2009,WD ,Normal
1908,50,RL,79.0,9492,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,2,CBlock,3,3,1,3,368.0,4,41.0,359.0,768.0,GasA,2,Y,SBrkr,968,408,0,1376,1.0,0.0,1,0,3,1,2,6,7,1,4,Attchd,1941.0,1,1.0,240.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2007,WD ,Normal
333,20,RL,50.0,6953,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1971,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,5,469.0,1,0.0,395.0,864.0,GasA,4,Y,SBrkr,874,0,0,874,0.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1971.0,1,1.0,352.0,3,3,2,0,0,0,0,0,0,0,0,None,0,6,2010,ConLD,Normal
2195,90,RL,60.0,10890,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2Story,5,6,1923,1950,Hip,CompShg,Wd Sdng,Plywood,None,0.0,2,2,PConc,3,3,2,3,371.0,1,0.0,925.0,1296.0,Grav,1,N,FuseA,1296,1296,0,2592,2.0,0.0,2,0,6,2,2,12,5,0,0,None,0.0,0,0.0,0.0,0,0,2,0,742,240,0,0,0,0,0,Shed,1512,1,2007,WD ,AdjLand
2244,30,C (all),60.0,6060,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,2,BrkTil,3,3,1,5,737.0,1,0.0,100.0,837.0,GasA,4,Y,SBrkr,1001,0,0,1001,0.0,0.0,1,0,2,1,3,5,7,0,0,Detchd,1930.0,1,1.0,216.0,3,1,0,154,0,42,86,0,0,0,0,None,0,11,2007,WD ,Normal
1604,20,RL,60.0,6600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,9,1982,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,5,641.0,1,0.0,175.0,816.0,GasA,4,Y,SBrkr,816,0,0,816,0.0,1.0,1,0,3,1,3,5,7,1,5,Attchd,1982.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,3,None,0,10,2008,WD ,Normal
1118,60,RL,80.0,9428,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,310.0,3,2,PConc,4,3,3,6,729.0,1,0.0,226.0,955.0,GasA,4,Y,SBrkr,955,919,0,1874,1.0,0.0,2,1,3,1,3,8,7,1,4,Attchd,2007.0,3,3.0,880.0,3,3,2,168,108,0,0,0,0,0,0,None,0,2,2008,New,Partial
2764,20,RL,80.5,36500,Pave,None,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,5,5,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,BrkCmn,621.0,2,3,CBlock,3,3,3,3,812.0,1,0.0,812.0,1624.0,GasA,1,Y,SBrkr,1582,0,0,1582,0.0,1.0,2,0,4,1,2,7,7,0,0,Attchd,1964.0,1,2.0,390.0,3,3,0,168,198,0,0,0,0,0,0,None,0,6,2006,WD ,Normal
1943,45,RL,60.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Unf,5,7,1949,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,1,5,220.0,1,0.0,625.0,845.0,GasA,2,Y,SBrkr,893,0,0,893,0.0,1.0,1,0,2,1,3,4,7,0,0,Detchd,1985.0,1,2.0,576.0,3,3,2,0,0,0,0,0,0,0,0,None,0,5,2007,WD ,Normal
2610,20,RL,77.0,9510,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1962,1985,Gable,CompShg,HdBoard,HdBoard,BrkCmn,161.0,2,2,CBlock,3,3,1,5,701.0,1,0.0,434.0,1135.0,GasA,4,Y,SBrkr,1207,0,0,1207,0.0,0.0,1,1,3,1,2,6,7,0,0,Attchd,1962.0,2,1.0,264.0,3,3,2,0,240,0,0,0,0,0,0,None,0,5,2006,WD ,Normal
2461,60,FV,100.0,13162,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Feedr,Norm,1Fam,2Story,9,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,1,6,1836.0,1,0.0,200.0,2036.0,GasA,4,Y,SBrkr,2036,604,0,2640,1.0,0.0,3,1,3,1,4,11,7,1,4,Attchd,2006.0,2,3.0,792.0,3,3,2,0,265,0,0,0,0,0,0,None,0,11,2006,New,Partial
1342,50,RM,52.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,4,7,1929,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,PConc,3,3,1,4,80.0,1,0.0,624.0,704.0,GasA,4,Y,SBrkr,624,512,0,1136,0.0,1.0,1,0,2,1,2,6,7,0,0,Detchd,1990.0,1,1.0,336.0,3,3,2,0,365,80,0,0,0,0,0,None,0,8,2008,WD ,Normal
320,60,RL,85.0,14191,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,967.0,967.0,GasA,4,Y,SBrkr,993,915,0,1908,0.0,0.0,2,1,4,1,3,9,7,0,0,Attchd,2002.0,3,2.0,431.0,3,3,2,135,0,0,0,0,0,0,0,None,0,4,2010,WD ,Normal
1619,80,RL,56.0,8872,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,3,Y,SBrkr,754,630,0,1384,0.0,0.0,2,1,3,1,2,7,7,1,3,BuiltIn,1997.0,3,2.0,390.0,3,3,2,0,0,0,0,0,0,0,0,None,0,3,2007,WD ,Normal
2486,90,RM,70.0,9100,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,336.0,2,2,CBlock,3,3,1,3,1332.0,1,0.0,396.0,1728.0,GasA,2,Y,SBrkr,1728,0,0,1728,1.0,0.0,2,0,6,2,2,10,7,0,0,Detchd,1963.0,1,2.0,504.0,3,3,2,0,0,0,0,0,0,0,0,None,0,11,2006,ConLI,Abnorml
2060,20,RL,66.0,7742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,4,763.0,1,0.0,192.0,955.0,GasA,4,Y,SBrkr,955,0,0,955,1.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1966.0,1,1.0,386.0,3,3,2,0,0,0,0,0,0,0,3,None,0,1,2007,WD ,Normal
1673,120,RH,33.0,4113,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,6,5,2001,2001,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,PConc,4,3,2,1,0.0,1,0.0,1337.0,1337.0,GasA,4,Y,SBrkr,1337,0,0,1337,0.0,0.0,2,0,2,1,3,5,7,1,3,Attchd,2001.0,3,2.0,511.0,3,3,2,136,68,0,0,0,0,0,0,None,0,7,2007,WD ,Normal
1942,50,RL,60.0,14190,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,4,7,1890,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,2,3,1,1,0.0,1,0.0,925.0,925.0,GasA,3,Y,SBrkr,1000,544,0,1544,0.0,0.0,2,0,3,1,2,7,7,0,0,None,0.0,0,0.0,0.0,0,0,0,231,0,0,0,0,0,0,0,None,0,4,2007,WD ,Normal
260,60,RL,70.0,10900,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,2,2,CBlock,4,3,1,6,378.0,1,0.0,311.0,689.0,GasA,4,Y,SBrkr,689,703,0,1392,0.0,0.0,1,1,3,1,2,6,7,0,0,Attchd,1977.0,3,1.0,299.0,3,3,2,0,36,0,0,0,0,0,3,Shed,450,3,2010,WD ,Normal
2297,85,RL,54.0,7244,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,7,1970,1970,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,4,3,3,5,619.0,1,0.0,149.0,768.0,GasA,4,Y,SBrkr,768,0,0,768,1.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1987.0,1,2.0,624.0,3,3,2,104,0,0,0,0,0,0,0,None,0,4,2007,WD ,Normal
2039,30,RM,40.0,4800,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,7,1916,1990,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,1,2,197.0,1,0.0,999.0,1196.0,GasA,4,Y,FuseA,1196,0,0,1196,1.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1957.0,1,2.0,440.0,3,3,2,0,0,0,0,0,0,0,0,None,0,7,2007,WD ,Normal
689,20,RL,80.0,7936,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,4,826.0,1,0.0,219.0,1045.0,GasA,2,Y,SBrkr,1045,0,0,1045,1.0,0.0,1,0,3,1,2,6,7,1,2,Attchd,1963.0,2,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2009,WD ,Normal
901,20,RL,65.0,8926,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,3,1956,1956,Gable,CompShg,AsbShng,AsbShng,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,672.0,672.0,GasA,4,Y,FuseA,960,0,0,960,0.0,0.0,1,0,3,1,2,5,7,0,0,Basment,1956.0,1,1.0,288.0,3,3,2,64,0,0,0,160,0,0,3,None,0,10,2009,COD,Abnorml
2026,70,RM,60.0,5700,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Feedr,Norm,1Fam,2Story,7,6,1929,1990,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,3,336.0,1,0.0,336.0,672.0,GasA,3,N,FuseA,672,672,0,1344,1.0,0.0,1,1,3,1,3,6,7,1,4,Attchd,1979.0,1,2.0,456.0,3,3,2,0,0,70,0,0,0,0,4,None,0,9,2007,WD ,Normal
138,90,RL,70.0,8267,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,Duplex,1Story,5,5,1958,1958,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,1604.0,1604.0,GasA,2,Y,SBrkr,1604,0,0,1604,0.0,0.0,2,0,4,2,2,8,7,0,0,Attchd,1958.0,1,2.0,576.0,3,3,2,42,0,0,0,0,0,0,0,None,0,3,2010,WD ,Normal
1917,20,RL,65.0,6860,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkCmn,54.0,2,2,CBlock,3,3,1,6,908.0,1,0.0,100.0,1008.0,GasA,4,Y,SBrkr,1008,0,0,1008,1.0,0.0,1,0,3,1,1,6,7,0,0,Detchd,1964.0,1,1.0,308.0,3,3,2,0,0,0,0,0,0,0,0,None,0,12,2007,WD ,Normal
1828,60,RL,80.0,17542,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,2Story,7,7,1974,2003,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,2,CBlock,3,3,4,2,125.0,5,1031.0,36.0,1192.0,GasA,2,Y,SBrkr,1516,651,0,2167,1.0,0.0,2,1,3,1,3,9,7,2,4,Attchd,1974.0,2,2.0,518.0,3,3,2,220,47,0,0,0,0,0,3,None,0,7,2007,WD ,Normal
1573,20,RL,74.0,11563,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,258.0,3,2,PConc,5,3,4,6,1036.0,1,0.0,482.0,1518.0,GasA,4,Y,SBrkr,1537,0,0,1537,1.0,0.0,2,0,3,1,3,8,7,0,0,Attchd,2007.0,3,3.0,788.0,3,3,2,0,26,0,0,0,0,0,0,None,0,4,2008,WD ,Normal
319,60,RL,80.0,11316,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,44.0,3,2,PConc,4,3,1,6,624.0,1,0.0,193.0,817.0,GasA,4,Y,SBrkr,824,1070,0,1894,1.0,0.0,2,1,4,1,3,8,7,1,4,BuiltIn,2002.0,3,2.0,510.0,3,3,2,0,40,0,0,0,0,0,0,None,0,2,2010,WD ,Normal
653,20,RL,50.0,8000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,5,680.0,1,0.0,292.0,972.0,GasA,4,Y,SBrkr,972,0,0,972,1.0,0.0,1,0,2,1,2,5,7,1,4,Detchd,1948.0,1,1.0,240.0,3,3,2,0,0,0,0,0,0,0,0,None,0,5,2009,WD ,Normal
2488,20,RL,72.0,9240,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,2002,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,4,612.0,1,0.0,252.0,864.0,GasA,3,Y,SBrkr,1211,0,0,1211,0.0,0.0,1,0,2,1,2,6,6,1,3,Detchd,1972.0,1,2.0,576.0,3,3,2,161,0,0,0,0,0,0,3,None,0,3,2006,WD ,Normal
558,20,RL,72.0,9316,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,HdBoard,Plywood,None,0.0,2,2,CBlock,3,3,1,3,544.0,1,0.0,480.0,1024.0,GasA,3,Y,SBrkr,1020,0,0,1020,0.0,0.0,2,0,3,1,2,5,7,0,0,Attchd,1965.0,1,1.0,288.0,3,3,2,171,0,0,0,0,0,0,3,None,0,5,2009,Oth,Family
112,20,RL,80.0,10603,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,2,2,PConc,3,3,2,5,1200.0,1,0.0,410.0,1610.0,GasA,3,Y,SBrkr,1610,0,0,1610,1.0,0.0,2,0,3,1,3,6,7,2,3,Attchd,1977.0,2,2.0,480.0,3,3,2,168,68,0,0,0,0,0,0,None,0,2,2010,WD ,Normal
531,20,FV,68.0,8736,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,None,0.0,3,2,PConc,4,3,1,6,771.0,5,360.0,422.0,1553.0,GasA,4,Y,SBrkr,1553,0,0,1553,1.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,2003.0,2,2.0,588.0,3,3,2,192,88,0,0,0,0,0,0,None,0,8,2009,WD ,Normal
224,20,RL,65.0,7832,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,6,775.0,1,0.0,89.0,864.0,GasA,4,Y,SBrkr,864,0,0,864,1.0,0.0,1,0,2,1,2,4,7,0,0,Detchd,1969.0,1,1.0,280.0,3,3,2,226,0,0,0,0,0,0,0,None,0,5,2010,WD ,Normal
723,50,RM,98.0,8820,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1890,1996,Hip,CompShg,VinylSd,VinylSd,None,0.0,2,2,BrkTil,3,3,1,2,1088.0,1,0.0,0.0,1088.0,GasA,2,Y,SBrkr,1188,561,120,1869,0.0,0.0,1,0,2,1,2,7,7,0,0,Detchd,1963.0,1,2.0,456.0,3,3,2,48,0,244,0,0,0,0,1,None,0,9,2009,WD ,Normal
2370,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,2,2,CBlock,3,3,1,5,276.0,1,0.0,207.0,483.0,GasA,2,Y,SBrkr,483,465,0,948,0.0,0.0,1,1,2,1,2,5,7,0,0,Detchd,1972.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,None,0,7,2006,WD ,Normal
2508,160,FV,24.0,2544,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2005,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,600.0,600.0,GasA,4,Y,SBrkr,520,623,80,1223,0.0,0.0,2,1,2,1,3,4,7,0,0,Detchd,2005.0,2,2.0,480.0,3,3,2,0,166,0,0,0,0,0,0,None,0,7,2006,WD ,Normal
1433,20,RL,57.0,9245,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,6,686.0,1,0.0,304.0,990.0,GasA,4,Y,SBrkr,990,0,0,990,0.0,1.0,1,0,3,1,2,5,7,0,0,Detchd,1996.0,1,2.0,672.0,3,3,2,0,0,0,0,0,0,0,0,None,0,2,2008,WD ,Normal
2272,60,RL,82.0,11800,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,94.0,3,2,PConc,4,3,4,6,766.0,1,0.0,356.0,1122.0,GasA,4,Y,SBrkr,1146,1340,0,2486,1.0,0.0,3,1,5,1,3,10,7,1,4,BuiltIn,2003.0,3,2.0,452.0,3,3,2,143,32,0,0,0,0,0,0,None,0,7,2007,WD ,Normal
1458,60,RL,75.0,11404,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,202.0,3,2,PConc,4,3,3,5,252.0,1,0.0,901.0,1153.0,GasA,4,Y,SBrkr,1153,878,0,2031,0.0,0.0,2,1,3,1,3,8,7,1,3,Attchd,1998.0,3,2.0,541.0,3,3,2,192,84,0,0,0,0,0,0,None,0,7,2008,WD ,Normal
2638,50,RM,60.0,5520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,6,1920,1980,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,2,1,2,284.0,1,0.0,863.0,1147.0,GasA,2,N,SBrkr,1147,510,0,1657,0.0,0.0,1,0,4,1,1,9,7,1,3,Detchd,1920.0,1,1.0,162.0,2,2,0,0,0,0,0,0,0,0,0,None,0,7,2006,WD ,Normal
846,60,RL,68.0,8935,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,3,2,PConc,4,3,1,1,0.0,1,0.0,831.0,831.0,GasA,4,Y,SBrkr,831,829,0,1660,0.0,0.0,2,1,3,1,3,7,7,0,0,Attchd,2002.0,2,2.0,493.0,3,3,2,144,68,0,0,0,0,0,0,None,0,7,2009,WD ,Normal
193,30,RM,50.0,5000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,7,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,1,3,188.0,1,0.0,577.0,765.0,GasA,2,N,FuseF,765,0,0,765,1.0,0.0,1,0,2,1,3,4,7,0,0,Detchd,1926.0,1,1.0,200.0,2,3,1,135,0,41,0,0,0,0,3,None,0,4,2010,WD ,Normal
1464,60,RL,41.0,10905,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1129.0,1129.0,GasA,4,Y,SBrkr,1129,1198,0,2327,0.0,0.0,2,1,4,1,3,9,7,1,4,BuiltIn,2003.0,2,2.0,596.0,3,3,2,0,57,0,0,0,0,0,0,None,0,8,2008,WD ,Normal
